id,title,main_reference_number,department_title,artist_title
150054,"Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan",1998.315,"Arts of the Americas","Joshua Johnson"
150739,Furisode,1991.637,Textiles,
151358,"Male Figure (Nkisi Nkondi)",1998.502,"Arts of Africa",Vili
151363,Weaving,1998.529,"Arts of the Americas","Diego Rivera"
151371,"Skyscraper Cabinet",1998.567,"Arts of the Americas","Paul Theodore Frankl"
151424,"Inventions of the Monsters",1943.798,"Modern Art","Salvador Dalí"
153244,"Cow Suckling a Calf",2006.180,"Arts of Asia",
153701,"Reclining Woman",1999.369,"Modern Art","Fernand Léger"
154232,"Monk (Mönch)",2000.49,"Contemporary Art","Katharina Fritsch"
154235,"The Girl by the Window",2000.50,"Painting and Sculpture of Europe","Edvard Munch"
154237,Machinist,2000.13.1,"Arts of the Americas","Emma Stebbins"
154238,"Machinist's Apprentice",2000.13.2,"Arts of the Americas","Emma Stebbins"
155969,"Talismanic Textile",2000.326,Textiles,
156442,Coffer,2001.54,"Applied Arts of Europe","André Charles Boulle"
156474,"Relaxing in the Shade",2000.475,"Arts of Asia","Yamakawa Shûhô"
156538,"Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago",RX23310/0002,"Architecture and Design","Adler & Sullivan, Architects"
157056,"Mrs. Herbert Duckworth",2001.59,"Photography and Media","Julia Margaret Cameron"
157156,"Red Yellow Blue White and Black II",2001.157,"Contemporary Art","Ellsworth Kelly"
157160,"The Flooded Grave",2001.161,"Contemporary Art","Jeff Wall"
159136,"Portrait Bust of a Woman",2002.11,"Arts of the Ancient Mediterranean and Byzantium","Ancient Roman"
159824,"""Untitled""",2002.80,"Contemporary Art","Felix Gonzalez-Torres"
160144,"The Sick Child I",2003.1,"Prints and Drawings","Edvard Munch"
160201,"Candida and Her Mother, Celia, II",2002.554a-f,"Photography and Media","Dawoud Bey"
160222,Albino,2002.597,"Contemporary Art","Marlene Dumas"
160226,"Gasthof zur Muldentalsperre",2003.433,"Contemporary Art","Peter Doig"
180298,"Ceremonial Hanging (palepai)",2002.914,Textiles,Paminggir
181091,"Caribs' Leap/Western Deep",2003.86,"Contemporary Art","Steve McQueen"
181145,"Horse and Rider",2003.114,"Applied Arts of Europe","Hans Ludwig Kienle"
181774,"Oonagh MacCumhail: The Case of the Entered Novitiate",2003.180,"Contemporary Art","Matthew Barney"
182728,"Urns (Set of 8)",2004.247.a-h,"Contemporary Art","Thomas Schütte"
183077,"Chair (Kiti Cha Enzi)",2004.476,"Arts of Africa",Swahili
183277,Landscape,2004.450,"Arts of Asia","Li Huayi"
184095,"Near the Lagoon",2004.146,"Contemporary Art","Jasper Johns"
184186,"The Long Road to Mazatlán",2007.41,"Contemporary Art","Isaac Julien"
184193,Delphine,2005.93,"Contemporary Art","Diana Thater"
184324,"Saint Michael and the Devil",2004.721,"Painting and Sculpture of Europe",
184362,"Mirror #3 (Six Panels)",2005.18,"Contemporary Art","Roy Lichtenstein"
184371,"The Nativity",2005.49,"Painting and Sculpture of Europe","Fra Bartolommeo"
184672,Sideboard,2005.51,"Arts of the Americas","Daniel Pabst"
185180,Chaekgeori,2006.3,"Arts of Asia",
185184,"Venus de Milo with Drawers",2005.424,"Modern Art","Salvador Dalí"
185222,"Group Pilgrimage to the Jizo Nun",2005.168,"Arts of Asia","Ike Taiga"
185619,"Woman's Robe",2005.606,Textiles,
185651,"Triptych Icon",2006.11,"Arts of Africa",
185760,"Forest and Sun",2007.276,"Modern Art","Max Ernst"
185766,"Festival in Montmartre",2007.281,"Modern Art","Gino Severini"
185905,"Lamp with “Hanging Head Dragonfly” Shade and “Mosaic and Turtleback” Base",2006.2,"Arts of the Americas","Clara Driscoll"
185963,Cauldron,2005.426,"Arts of Asia",
186047,Sideboard,2005.529,"Applied Arts of Europe","Edward William Godwin"
186049,"The First Part of the Return from Parnassus",2007.63,"Contemporary Art","Cy Twombly"
186392,"Wall Drawing #821: A black square divided horizontally and vertically into four equal parts, each with a different direction of alternating flat and glossy bands",2006.168,,"Sol LeWitt"
187155,"The Ballad of Sexual Dependency",2006.158,"Photography and Media","Nan Goldin"
187165,Monogram,2006.170,"Contemporary Art","Louise Lawler"
187528,Head,2006.127,"Arts of Africa",Fang
188540,"Sur, Long Island City, New York",2006.311,"Architecture and Design","Hernán Díaz Alonso"
188844,"Near Jackson, Mississippi",2006.326,"Photography and Media","William Eggleston"
188845,"Corallo Chair",2006.277,"Architecture and Design","Campana Brothers"
189207,Hinoki,2007.771a-e,"Contemporary Art","Charles Ray"
189289,"Gingold Living Room End Table (1 of 2)",2006.752.1,"Architecture and Design","Rudolph Michael Schindler"
189290,"Gingold Living Room End Table (2 of 2)",2006.752.2,"Architecture and Design","Rudolph Michael Schindler"
189595,"Pair of Headdresses (Tyi Wara Kunw)",1965.6-7,"Arts of Africa",Bamana
189600,Fragment,2007.17,Textiles,
189715,"King Vulture",2007.105,"Applied Arts of Europe","Johann Joachim Kändler"
189775,"The Emperor Sailing, from The Story of the Emperor of China",2007.22,Textiles,"Guy-Louis Vernansal"
189807,Object,2007.30,"Modern Art","Claude Cahun"
189932,Bloom,2007.73,,"Julia Fish"
190224,"River City, Aerial Perspective",RX23664/110.279,"Architecture and Design","Bertrand Goldberg"
190558,"Spindle Cube Chair",2007.79,"Arts of the Americas","Frank Lloyd Wright"
191197,Honey-Pop,2007.111,"Architecture and Design","Tokujin Yoshioka"
191371,Untitled,2008.11,"Contemporary Art","Donald Judd"
191454,"Dead Fish, Salton Sea, from the series ""Desert Cantos III: The Flood""",2007.225,"Photography and Media","Richard Misrach"
191556,"The Room No. VI",2007.329,"Arts of the Americas","Eldzier Cortor"
192689,Untitled,2008.174,"Contemporary Art","Robert Gober"
192890,"Dymaxion Car, Section",1990.167.1,"Architecture and Design","Richard Buckminster Fuller"
193664,"The Captive Slave (Ira Aldridge)",2008.188,"Painting and Sculpture of Europe","John Philip Simpson"
196323,"Plate 49 from Plan of Chicago 1909: Chicago. View of the City from Jackson Park to Grant Park, Looking Towards the West. The proposed shore treatment as a park enclosing a waterway (or a series of lagoons) is shown, together with the enlarged yacht harbor, recreation piers, and a scheme for Grant Park.",2.148.1966,"Architecture and Design","Daniel Hudson Burnham"
198809,"Self-Portrait of My Sister",2009.59,"Arts of the Americas","Gertrude Abercrombie"
199002,"In Memory of My Father",2009.52,"Contemporary Art","Sylvia Plimack Mangold"
199854,Shaffron,1982.2102q,,
207293,"Painterly Realism of a Football Player—Color Masses in the 4th Dimension",2011.1,"Modern Art","Kasimir Malevich"
210482,"I'timad-ud-Daula's Tomb at Agra",2011.284,"Arts of Asia",
210511,"A Monumental Portrait of a Monkey",2011.248,"Arts of Asia",
217201,"Cotton Pickers",2013.4,"Arts of the Americas","Thomas Hart Benton"
218612,"Khee II",2013.123,"Contemporary Art","Jack Whitten"
220179,"Object with Number 1",2013.1095,"Modern Art","Joaquín Torres Garcia"
220272,"Golden Wings Brushing the Clouds Incarnated from Earthly Wide Star (Chikatsusei Maunkinshi)",2013.1092,"Contemporary Art","Shiraga Kazuo"
221885,"We Must Bear",2014.636,"Contemporary Art","Nilima Sheikh"
223309,Untitled,2014.635,"Contemporary Art","Saitō Yoshishige"
225016,"A Siren Beside a Ship",2016.336,"Contemporary Art","Mark Bradford"
227420,"Male-Female Figure with Pomegranate",2015.84,"Contemporary Art","Ibrahim El-Salahi"
229351,Target,2015.119,"Contemporary Art","Jasper Johns"
229354,Untitled,2015.122,"Contemporary Art","Robert Rauschenberg"
229393,Untitled,2015.176,"Contemporary Art","Tanaka Atsuko"
229406,"Liz #3 [Early Colored Liz]",2015.160,"Contemporary Art","Andy Warhol"
229510,AC10,2015.178a-b,"Contemporary Art","Wei Zhang"
229866,"Finnish Painting",2015.477,"Contemporary Art",Pope.L
230189,"Celestial Chaos No. 1",2015.451,"Arts of Asia","Tai Xiangzhou"
234004,"Untitled 72–12–A",2016.62,"Contemporary Art","Chung, Sang-Hwa"
234433,"Involvement Series",2016.66,"Contemporary Art","Wanda Pimentel"
234781,"Christ Carrying the Cross",2016.15,"Painting and Sculpture of Europe","Sebastiano del Piombo"
234972,"Small Town by Day (Badische Kleinstadt bei Tage)",2016.46,"Modern Art","Georg Scholz"
238749,"Bottle Rack (Porte-Bouteilles)",2017.422,"Modern Art","Marcel Duchamp"
